yearlink;year;municipality;link;ingeschreven;neergelegd;blanco_ongeldig
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Aalst;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=860&party_id=;61387;57013;2351
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Aalter;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=886&party_id=;14327;13562;619
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Aarlen;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=1098&party_id=;17987;16573;1496
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Aarschot;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=948&party_id=;22470;21024;918
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Aartselaar;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=428&party_id=;11374;10426;244
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Aat;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=668&party_id=;19754;18283;967
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Affligem;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=947&party_id=;9274;8822;321
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Aiseau-Presles;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=688&party_id=;7097;6657;453
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Alken;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=1085&party_id=;8451;8124;358
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Alveringem;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=1049&party_id=;3626;3442;170
